2 1:203.3038 2:3.9749913 3:4.3210874 4:-5.1440887 5:1.4262291 6:-1.4886229 7:1.5467943 8:-5.8983674 9:4.5709863 10:-1.2156067 11:2.431292 12:-1.0133374 13:6.3424063 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:203.3038 2:3.9749913 3:4.3210874 4:-5.1440887 5:1.4262291 6:-1.4886229 7:1.5467943 8:-5.8983674 9:4.5709863 10:-1.2156067 11:2.431292 12:-1.0133374 13:6.3424063 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:203.81519 2:2.4687834 3:2.8693724 4:1.2850995 5:3.7055416 6:-4.774234 7:4.44251 8:0.44173682 9:3.2193177 10:-3.1329799 11:-0.9826668 12:-3.7367108 13:3.1787832 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:203.81519 2:2.4687834 3:2.8693724 4:1.2850995 5:3.7055416 6:-4.774234 7:4.44251 8:0.44173682 9:3.2193177 10:-3.1329799 11:-0.9826668 12:-3.7367108 13:3.1787832 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:207.8483 2:5.7270083 3:5.1974926 4:1.0264219 5:7.8091073 6:-0.3578773 7:3.8966763 8:-3.2230072 9:1.191168 10:-5.440868 11:2.1805916 12:-0.5302536 13:3.8629384 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:207.8483 2:5.7270083 3:5.1974926 4:1.0264219 5:7.8091073 6:-0.3578773 7:3.8966763 8:-3.2230072 9:1.191168 10:-5.440868 11:2.1805916 12:-0.5302536 13:3.8629384 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:205.71944 2:3.2805889 3:3.7568808 4:-1.140739 5:5.0237446 6:2.5149345 7:3.6863005 8:-4.1466794 9:4.7462983 10:-2.5566509 11:3.5093467 12:-1.5438362 13:4.518689 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:205.71944 2:3.2805889 3:3.7568808 4:-1.140739 5:5.0237446 6:2.5149345 7:3.6863005 8:-4.1466794 9:4.7462983 10:-2.5566509 11:3.5093467 12:-1.5438362 13:4.518689 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:203.7463 2:6.0382967 3:4.4559455 4:1.1075773 5:4.978292 6:-1.546532 7:2.7493942 8:-3.2441266 9:7.094648 10:-5.3324366 11:1.736667 12:-3.0655403 13:-0.043061145 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:203.7463 2:6.0382967 3:4.4559455 4:1.1075773 5:4.978292 6:-1.546532 7:2.7493942 8:-3.2441266 9:7.094648 10:-5.3324366 11:1.736667 12:-3.0655403 13:-0.043061145 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
