1 1:204.02086 2:7.938209 3:8.242018 4:-3.9933236 5:3.04188 6:-0.47950655 7:5.828218 8:-0.5796214 9:0.6393693 10:-2.4041636 11:4.463636 12:-2.5123894 13:4.759605 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:204.02086 2:7.938209 3:8.242018 4:-3.9933236 5:3.04188 6:-0.47950655 7:5.828218 8:-0.5796214 9:0.6393693 10:-2.4041636 11:4.463636 12:-2.5123894 13:4.759605 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:205.48108 2:4.718982 3:4.5373664 4:-4.567075 5:4.5568295 6:-0.70919627 7:5.004874 8:-0.18676402 9:2.7110445 10:-4.0040336 11:2.3499556 12:-3.5193896 13:2.2334833 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:205.48108 2:4.718982 3:4.5373664 4:-4.567075 5:4.5568295 6:-0.70919627 7:5.004874 8:-0.18676402 9:2.7110445 10:-4.0040336 11:2.3499556 12:-3.5193896 13:2.2334833 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:203.77438 2:3.749047 3:4.1478 4:-0.80701566 5:6.5221334 6:0.81117296 7:5.78838 8:-1.2365371 9:2.6128361 10:-4.293097 11:-0.92606735 12:-4.4325027 13:4.3845587 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:203.77438 2:3.749047 3:4.1478 4:-0.80701566 5:6.5221334 6:0.81117296 7:5.78838 8:-1.2365371 9:2.6128361 10:-4.293097 11:-0.92606735 12:-4.4325027 13:4.3845587 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:203.42819 2:9.034938 3:6.7948093 4:-1.9519346 5:6.8412423 6:-0.09760154 7:5.7051177 8:-0.4127615 9:2.9516938 10:-4.623662 11:2.5942907 12:-4.808593 13:1.950113 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:203.42819 2:9.034938 3:6.7948093 4:-1.9519346 5:6.8412423 6:-0.09760154 7:5.7051177 8:-0.4127615 9:2.9516938 10:-4.623662 11:2.5942907 12:-4.808593 13:1.950113 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:206.88626 2:7.9222608 3:5.542434 4:-0.020440796 5:5.882404 6:0.11272722 7:5.5089846 8:-5.0603037 9:1.2788687 10:-3.4416542 11:4.092129 12:-0.6253438 13:3.552897 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:206.88626 2:7.9222608 3:5.542434 4:-0.020440796 5:5.882404 6:0.11272722 7:5.5089846 8:-5.0603037 9:1.2788687 10:-3.4416542 11:4.092129 12:-0.6253438 13:3.552897 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
