1 1:206.9964 2:0.66912955 3:3.9309874 4:-4.5859942 5:2.013537 6:-1.8769149 7:2.4818282 8:-1.0270935 9:0.4609838 10:-0.58565617 11:5.372634 12:-0.5282427 13:2.778715 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:206.9964 2:0.66912955 3:3.9309874 4:-4.5859942 5:2.013537 6:-1.8769149 7:2.4818282 8:-1.0270935 9:0.4609838 10:-0.58565617 11:5.372634 12:-0.5282427 13:2.778715 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:202.50145 2:3.4810832 3:4.848927 4:-5.4218316 5:4.3842516 6:0.5851225 7:5.3898787 8:-0.09427202 9:0.53280085 10:-0.4354224 11:3.8719103 12:-0.94926953 13:1.9182963 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:202.50145 2:3.4810832 3:4.848927 4:-5.4218316 5:4.3842516 6:0.5851225 7:5.3898787 8:-0.09427202 9:0.53280085 10:-0.4354224 11:3.8719103 12:-0.94926953 13:1.9182963 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:199.03416 2:1.0062479 3:7.590575 4:-6.828719 5:3.9795806 6:1.2099326 7:4.8776865 8:0.062156398 9:1.6700102 10:2.6352391 11:4.923908 12:0.3230026 13:3.3984423 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:199.03416 2:1.0062479 3:7.590575 4:-6.828719 5:3.9795806 6:1.2099326 7:4.8776865 8:0.062156398 9:1.6700102 10:2.6352391 11:4.923908 12:0.3230026 13:3.3984423 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:201.76382 2:0.9606128 3:8.716472 4:-7.557714 5:1.4524056 6:2.421956 7:1.506336 8:-1.5604463 9:2.5856023 10:1.9124608 11:3.8205833 12:-2.6935565 13:2.700263 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:201.76382 2:0.9606128 3:8.716472 4:-7.557714 5:1.4524056 6:2.421956 7:1.506336 8:-1.5604463 9:2.5856023 10:1.9124608 11:3.8205833 12:-2.6935565 13:2.700263 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:199.51765 2:1.3717088 3:4.247834 4:-3.482105 5:7.0927873 6:1.5858632 7:3.5526426 8:0.7357878 9:2.4099975 10:-1.1459879 11:2.6922367 12:-0.8635315 13:2.741978 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:199.51765 2:1.3717088 3:4.247834 4:-3.482105 5:7.0927873 6:1.5858632 7:3.5526426 8:0.7357878 9:2.4099975 10:-1.1459879 11:2.6922367 12:-0.8635315 13:2.741978 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
