1 1:-39.68577 2:-15.580724 3:5.9935546 4:-11.56743 5:1.2343332 6:2.2139473 7:-4.499535 8:-0.021773398 9:2.4470057 10:-2.2029264 11:0.22550021 12:0.72049886 13:-0.4102013 14:-39.68577 15:-15.580724 16:5.9935546 17:-11.56743 18:1.2343332 19:2.2139473 20:-4.499535 21:-0.021773398 22:2.4470057 23:-2.2029264 24:0.22550021 25:0.72049886 26:-0.4102013 
1 1:211.04904 2:5.229215 3:1.8168218 4:-2.395774 5:3.3936152 6:-1.7386857 7:0.9623386 8:-4.681622 9:3.8401146 10:0.6173098 11:3.8062775 12:-5.8527393 13:2.490902 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:211.04904 2:5.229215 3:1.8168218 4:-2.395774 5:3.3936152 6:-1.7386857 7:0.9623386 8:-4.681622 9:3.8401146 10:0.6173098 11:3.8062775 12:-5.8527393 13:2.490902 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:201.62865 2:0.09141307 3:0.13542508 4:-1.7785593 5:5.6030874 6:0.28631258 7:0.69109344 8:-2.5306873 9:4.229576 10:-1.1804316 11:2.1267257 12:-4.0339437 13:3.7318084 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:201.62865 2:0.09141307 3:0.13542508 4:-1.7785593 5:5.6030874 6:0.28631258 7:0.69109344 8:-2.5306873 9:4.229576 10:-1.1804316 11:2.1267257 12:-4.0339437 13:3.7318084 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:206.62354 2:5.2023387 3:4.3103037 4:-0.22825862 5:8.659615 6:-1.9199313 7:1.4635787 8:-0.96045095 9:5.4253883 10:-2.4702663 11:0.87281734 12:-3.577368 13:1.5321106 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:206.62354 2:5.2023387 3:4.3103037 4:-0.22825862 5:8.659615 6:-1.9199313 7:1.4635787 8:-0.96045095 9:5.4253883 10:-2.4702663 11:0.87281734 12:-3.577368 13:1.5321106 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:210.0994 2:6.4393497 3:3.7354555 4:-3.6288621 5:5.4797554 6:-5.6770153 7:-2.2697232 8:-6.897578 9:2.9226117 10:1.5078775 11:3.1714764 12:-2.2524915 13:0.9219284 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:210.0994 2:6.4393497 3:3.7354555 4:-3.6288621 5:5.4797554 6:-5.6770153 7:-2.2697232 8:-6.897578 9:2.9226117 10:1.5078775 11:3.1714764 12:-2.2524915 13:0.9219284 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:208.85562 2:4.911713 3:4.990026 4:-2.388163 5:6.7897425 6:-1.1268097 7:1.1458033 8:-3.3989425 9:5.032929 10:0.14523432 11:3.7006013 12:0.475793 13:3.1914566 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:208.85562 2:4.911713 3:4.990026 4:-2.388163 5:6.7897425 6:-1.1268097 7:1.1458033 8:-3.3989425 9:5.032929 10:0.14523432 11:3.7006013 12:0.475793 13:3.1914566 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:209.03181 2:1.6854653 3:2.2085178 4:-0.013506825 5:5.203769 6:-3.2470808 7:1.1669455 8:-4.741345 9:1.7831999 10:-1.6976429 11:2.3479493 12:-1.7547739 13:2.1560788 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:209.03181 2:1.6854653 3:2.2085178 4:-0.013506825 5:5.203769 6:-3.2470808 7:1.1669455 8:-4.741345 9:1.7831999 10:-1.6976429 11:2.3479493 12:-1.7547739 13:2.1560788 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:209.23117 2:6.287814 3:4.880626 4:-0.69432074 5:4.069144 6:-2.3572443 7:2.1365578 8:-4.247979 9:0.5080996 10:-1.5920606 11:3.11701 12:-2.08213 13:2.4476206 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:209.23117 2:6.287814 3:4.880626 4:-0.69432074 5:4.069144 6:-2.3572443 7:2.1365578 8:-4.247979 9:0.5080996 10:-1.5920606 11:3.11701 12:-2.08213 13:2.4476206 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:204.64839 2:1.5433196 3:0.63950104 4:-2.1201315 5:4.5033965 6:-5.4570637 7:1.7135679 8:-1.5414425 9:4.6382427 10:-2.3153512 11:3.5588768 12:-0.07274486 13:3.5072777 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:204.64839 2:1.5433196 3:0.63950104 4:-2.1201315 5:4.5033965 6:-5.4570637 7:1.7135679 8:-1.5414425 9:4.6382427 10:-2.3153512 11:3.5588768 12:-0.07274486 13:3.5072777 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:206.20547 2:3.6857567 3:0.43241617 4:-4.439077 5:6.407326 6:-2.2994118 7:2.478466 8:-3.1048222 9:2.9705672 10:-0.7962132 11:3.9184637 12:0.32299626 13:2.0787826 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:206.20547 2:3.6857567 3:0.43241617 4:-4.439077 5:6.407326 6:-2.2994118 7:2.478466 8:-3.1048222 9:2.9705672 10:-0.7962132 11:3.9184637 12:0.32299626 13:2.0787826 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:205.8652 2:2.5427742 3:-0.3249432 4:-5.528967 5:2.9865258 6:-1.1819103 7:2.6482446 8:-2.0063026 9:4.0261126 10:-2.7048483 11:3.030246 12:-3.2978332 13:1.5029911 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:205.8652 2:2.5427742 3:-0.3249432 4:-5.528967 5:2.9865258 6:-1.1819103 7:2.6482446 8:-2.0063026 9:4.0261126 10:-2.7048483 11:3.030246 12:-3.2978332 13:1.5029911 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:210.55011 2:3.2593813 3:-0.11720009 4:-2.9207652 5:4.1414967 6:-2.326696 7:2.1290457 8:-1.9464025 9:5.489156 10:-0.8318646 11:6.1444616 12:-0.1739523 13:3.1207285 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:210.55011 2:3.2593813 3:-0.11720009 4:-2.9207652 5:4.1414967 6:-2.326696 7:2.1290457 8:-1.9464025 9:5.489156 10:-0.8318646 11:6.1444616 12:-0.1739523 13:3.1207285 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:209.35576 2:4.9112773 3:3.7056463 4:-2.2015705 5:3.7064087 6:-2.379753 7:3.2813497 8:-1.0625368 9:4.830091 10:-3.0846565 11:3.8266175 12:-2.8509057 13:3.0911243 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:209.35576 2:4.9112773 3:3.7056463 4:-2.2015705 5:3.7064087 6:-2.379753 7:3.2813497 8:-1.0625368 9:4.830091 10:-3.0846565 11:3.8266175 12:-2.8509057 13:3.0911243 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:203.68689 2:3.066941 3:0.34949768 4:-0.955306 5:6.666694 6:-0.8530403 7:4.0218077 8:-3.888665 9:3.1000676 10:-4.7045193 11:2.421921 12:-3.1842535 13:1.1167612 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:203.68689 2:3.066941 3:0.34949768 4:-0.955306 5:6.666694 6:-0.8530403 7:4.0218077 8:-3.888665 9:3.1000676 10:-4.7045193 11:2.421921 12:-3.1842535 13:1.1167612 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:204.30675 2:2.5045588 3:4.230199 4:-1.1793864 5:5.9199796 6:-0.60538983 7:0.81136215 8:-2.983331 9:4.580927 10:-3.9670172 11:4.1770997 12:-2.8726645 13:0.84921455 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:204.30675 2:2.5045588 3:4.230199 4:-1.1793864 5:5.9199796 6:-0.60538983 7:0.81136215 8:-2.983331 9:4.580927 10:-3.9670172 11:4.1770997 12:-2.8726645 13:0.84921455 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:206.202 2:3.2499087 3:5.170043 4:-3.551334 5:2.2755406 6:0.025620135 7:2.2452495 8:-3.0273101 9:2.4382842 10:0.08752846 11:1.8449562 12:-5.1759715 13:1.802545 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:206.202 2:3.2499087 3:5.170043 4:-3.551334 5:2.2755406 6:0.025620135 7:2.2452495 8:-3.0273101 9:2.4382842 10:0.08752846 11:1.8449562 12:-5.1759715 13:1.802545 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
