2 1:216.18788 2:-6.22776 3:3.8182542 4:-3.9425697 5:1.8006669 6:-4.170718 7:-0.33795273 8:-1.752175 9:1.0244198 10:2.3919556 11:6.416768 12:-0.29115668 13:3.1862078 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:216.18788 2:-6.22776 3:3.8182542 4:-3.9425697 5:1.8006669 6:-4.170718 7:-0.33795273 8:-1.752175 9:1.0244198 10:2.3919556 11:6.416768 12:-0.29115668 13:3.1862078 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:220.79108 2:-6.8862414 3:2.0969014 4:-1.4070995 5:5.075632 6:-0.77495885 7:-0.37406695 8:-3.3421886 9:5.02351 10:0.68286306 11:1.141383 12:-2.6371012 13:-0.11125941 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:220.79108 2:-6.8862414 3:2.0969014 4:-1.4070995 5:5.075632 6:-0.77495885 7:-0.37406695 8:-3.3421886 9:5.02351 10:0.68286306 11:1.141383 12:-2.6371012 13:-0.11125941 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:214.84576 2:-3.3971233 3:0.97296274 4:0.11535733 5:4.7943807 6:-0.29448843 7:0.038490366 8:-3.269999 9:0.5237715 10:-0.047490973 11:3.6178474 12:-2.787229 13:2.2611651 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:214.84576 2:-3.3971233 3:0.97296274 4:0.11535733 5:4.7943807 6:-0.29448843 7:0.038490366 8:-3.269999 9:0.5237715 10:-0.047490973 11:3.6178474 12:-2.787229 13:2.2611651 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:214.1742 2:-5.590133 3:1.8939943 4:-4.746652 5:1.6869272 6:-3.2495084 7:1.4349128 8:-3.6975791 9:-0.5359176 10:0.8498325 11:5.0874205 12:-0.57263446 13:2.2116473 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:214.1742 2:-5.590133 3:1.8939943 4:-4.746652 5:1.6869272 6:-3.2495084 7:1.4349128 8:-3.6975791 9:-0.5359176 10:0.8498325 11:5.0874205 12:-0.57263446 13:2.2116473 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:219.159 2:-5.695244 3:3.4153044 4:-3.4134088 5:-0.55162394 6:0.65479136 7:1.7332665 8:-3.844127 9:1.0583302 10:-0.13073584 11:2.1925576 12:-3.8269517 13:2.8259513 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:219.159 2:-5.695244 3:3.4153044 4:-3.4134088 5:-0.55162394 6:0.65479136 7:1.7332665 8:-3.844127 9:1.0583302 10:-0.13073584 11:2.1925576 12:-3.8269517 13:2.8259513 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:220.93216 2:-1.4812948 3:1.2870657 4:-3.139604 5:2.5514486 6:-1.6671572 7:-0.087736495 8:-6.639539 9:1.1616324 10:-2.4642346 11:2.263144 12:-3.4311516 13:-0.1495454 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:220.93216 2:-1.4812948 3:1.2870657 4:-3.139604 5:2.5514486 6:-1.6671572 7:-0.087736495 8:-6.639539 9:1.1616324 10:-2.4642346 11:2.263144 12:-3.4311516 13:-0.1495454 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:211.79472 2:0.72088504 3:1.8804195 4:-4.5200725 5:0.9370904 6:-1.3442204 7:0.19229783 8:-1.2168933 9:2.2311156 10:-2.4807184 11:4.183023 12:-4.6696196 13:3.0339684 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:211.79472 2:0.72088504 3:1.8804195 4:-4.5200725 5:0.9370904 6:-1.3442204 7:0.19229783 8:-1.2168933 9:2.2311156 10:-2.4807184 11:4.183023 12:-4.6696196 13:3.0339684 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
