1 1:213.14421 2:1.1439517 3:-1.2999368 4:-2.561436 5:4.9103837 6:-5.2897797 7:-1.4254 8:-1.8665087 9:4.529949 10:-2.4358382 11:3.366771 12:-1.0404727 13:3.6053624 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:212.69681 2:4.5829816 3:1.2665964 4:-3.1795878 5:7.690227 6:-3.907353 7:-0.80088454 8:-5.9507556 9:3.5518253 10:-1.4644827 11:2.2036285 12:-1.0917029 13:2.2174177 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:212.69681 2:4.5829816 3:1.2665964 4:-3.1795878 5:7.690227 6:-3.907353 7:-0.80088454 8:-5.9507556 9:3.5518253 10:-1.4644827 11:2.2036285 12:-1.0917029 13:2.2174177 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:210.71637 2:3.6920676 3:-0.23771475 4:-2.7595139 5:4.409641 6:-2.1050458 7:1.406909 8:-4.8864293 9:2.0449083 10:-0.7281933 11:4.8259068 12:-0.38547188 13:5.1769366 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:210.71637 2:3.6920676 3:-0.23771475 4:-2.7595139 5:4.409641 6:-2.1050458 7:1.406909 8:-4.8864293 9:2.0449083 10:-0.7281933 11:4.8259068 12:-0.38547188 13:5.1769366 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:208.30978 2:0.76046234 3:-0.06866727 4:-3.222984 5:3.9470892 6:-4.5057817 7:-0.6727661 8:-2.816864 9:4.328964 10:-0.13271312 11:6.042903 12:-1.5189184 13:3.0117252 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:208.30978 2:0.76046234 3:-0.06866727 4:-3.222984 5:3.9470892 6:-4.5057817 7:-0.6727661 8:-2.816864 9:4.328964 10:-0.13271312 11:6.042903 12:-1.5189184 13:3.0117252 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:210.66386 2:4.007501 3:0.7268182 4:-2.4320924 5:7.3780656 6:-3.8986454 7:0.7328134 8:-2.2447634 9:2.8402104 10:-0.09528769 11:5.948833 12:-2.000766 13:3.3468292 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:210.66386 2:4.007501 3:0.7268182 4:-2.4320924 5:7.3780656 6:-3.8986454 7:0.7328134 8:-2.2447634 9:2.8402104 10:-0.09528769 11:5.948833 12:-2.000766 13:3.3468292 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:208.16603 2:2.6703012 3:0.4379314 4:-4.966467 5:1.1234157 6:-6.31153 7:-0.6883753 8:-3.2668264 9:2.730719 10:-0.22422831 11:4.6463723 12:-2.9105542 13:5.546712 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
