2 1:206.43738 2:5.9526987 3:2.1389673 4:-4.153421 5:1.0810136 6:-2.4297721 7:0.15276852 8:-5.43673 9:3.9488034 10:-1.5624799 11:0.52617323 12:-2.6702726 13:3.9598293 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:206.43738 2:5.9526987 3:2.1389673 4:-4.153421 5:1.0810136 6:-2.4297721 7:0.15276852 8:-5.43673 9:3.9488034 10:-1.5624799 11:0.52617323 12:-2.6702726 13:3.9598293 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:202.4433 2:5.437312 3:1.0567203 4:-0.5925183 5:8.580656 6:-1.6458385 7:-1.8058223 8:-3.2461243 9:1.5072843 10:-2.194806 11:2.647828 12:-5.7444715 13:3.1046925 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:202.4433 2:5.437312 3:1.0567203 4:-0.5925183 5:8.580656 6:-1.6458385 7:-1.8058223 8:-3.2461243 9:1.5072843 10:-2.194806 11:2.647828 12:-5.7444715 13:3.1046925 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:204.12021 2:7.350332 3:3.853959 4:1.4008534 5:7.2099314 6:-2.5468807 7:0.3399625 8:1.178401 9:5.3170133 10:-2.0735736 11:2.8314664 12:-5.406474 13:3.9194164 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:204.12021 2:7.350332 3:3.853959 4:1.4008534 5:7.2099314 6:-2.5468807 7:0.3399625 8:1.178401 9:5.3170133 10:-2.0735736 11:2.8314664 12:-5.406474 13:3.9194164 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:200.1038 2:3.98235 3:4.021622 4:2.1523619 5:4.531166 6:-1.5752206 7:-0.44707364 8:-5.069226 9:2.2479079 10:-3.9238598 11:-0.6336178 12:-4.7063465 13:4.412449 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:200.1038 2:3.98235 3:4.021622 4:2.1523619 5:4.531166 6:-1.5752206 7:-0.44707364 8:-5.069226 9:2.2479079 10:-3.9238598 11:-0.6336178 12:-4.7063465 13:4.412449 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:199.99391 2:4.61077 3:3.214794 4:-2.8822231 5:8.518667 6:-0.5987271 7:3.3818562 8:-2.036438 9:3.4401686 10:-3.2128146 11:0.8070845 12:-4.609765 13:1.7298224 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:199.99391 2:4.61077 3:3.214794 4:-2.8822231 5:8.518667 6:-0.5987271 7:3.3818562 8:-2.036438 9:3.4401686 10:-3.2128146 11:0.8070845 12:-4.609765 13:1.7298224 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:199.46529 2:2.616735 3:2.6079233 4:-0.58428466 5:3.5413532 6:-2.2150822 7:1.6713775 8:-3.8610997 9:5.9376106 10:-0.03588825 11:3.9723926 12:-3.3616061 13:0.9785671 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
