1 1:216.54979 2:1.1585162 3:10.223053 4:-2.1320627 5:4.267302 6:-0.7755024 7:1.9861094 8:-4.2207665 9:0.41660714 10:-3.3914435 11:2.7613938 12:0.3095104 13:3.7018933 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:210.95471 2:-1.65831 3:11.31779 4:-4.1886106 5:4.319754 6:-2.8004727 7:2.7535264 8:-1.3118593 9:1.6832545 10:-0.97726023 11:2.2932317 12:0.06425771 13:2.6425366 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:211.27289 2:-0.5671514 3:9.511959 4:-3.9497035 5:3.0684474 6:-2.974157 7:2.689028 8:-1.012186 9:3.1586752 10:-1.3454837 11:1.7765775 12:0.028972916 13:3.2104592 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:211.9137 2:0.49255592 3:8.084128 4:-1.8720291 5:8.205211 6:0.61811554 7:0.5254328 8:-2.1914618 9:1.4951142 10:-3.1237943 11:3.56311 12:-1.5813764 13:1.4874961 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:208.3771 2:1.0907317 3:10.654262 4:-1.5074028 5:4.8288383 6:-1.1271914 7:0.31864014 8:-2.0621345 9:1.4657483 10:-2.8838303 11:3.5757875 12:-2.770775 13:2.6498835 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:208.23318 2:1.0745924 3:7.6056557 4:-1.4358082 5:3.9102466 6:-0.6842473 7:2.1890464 8:-4.640775 9:-0.19204605 10:-6.81789 11:0.8975722 12:-2.0721028 13:2.9887693 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:209.3303 2:1.2497177 3:8.9213 4:-1.4575081 5:2.1576996 6:-0.93585545 7:3.4558768 8:-3.099395 9:-0.25884512 10:-5.6950283 11:1.3476868 12:-1.8066927 13:3.5254111 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:214.11536 2:4.1193185 3:6.4270625 4:-2.8898916 5:3.9965613 6:-1.9219077 7:1.7923133 8:-2.1950054 9:3.0263722 10:-3.7111413 11:2.6596055 12:-2.3388996 13:0.99847585 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:212.70529 2:1.3275325 3:3.148945 4:-6.5676165 5:3.9156952 6:-1.3117822 7:0.8708985 8:-2.5516446 9:3.1219988 10:-3.4239094 11:4.2275715 12:-0.60073936 13:0.7296832 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:241.30174 2:0.12481905 3:6.8535995 4:-7.8543167 5:6.090405 6:-0.14605916 7:3.33529 8:-0.56909126 9:5.0245523 10:1.8691506 11:4.2465544 12:0.17381863 13:0.4091216 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:251.76035 2:0.19293498 3:4.9707727 4:-5.9838266 5:3.7686286 6:-2.0145779 7:1.0217396 8:-1.151128 9:5.62202 10:0.015786773 11:4.346296 12:0.24503058 13:1.2479556 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:266.3469 2:1.3887492 3:2.3044415 4:-9.527564 5:4.9314322 6:-1.1613828 7:1.4563624 8:-2.8789353 9:1.4155532 10:-1.6164558 11:0.8364341 12:-2.3811953 13:1.5725057 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:271.24075 2:4.6642375 3:3.6986513 4:-10.727053 5:4.3670163 6:-0.66895616 7:3.5240855 8:-1.0404572 9:1.7469213 10:-3.657949 11:1.1122527 12:-1.3571764 13:2.1091313 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:257.17856 2:3.3013244 3:3.8114002 4:-7.539299 5:5.823415 6:-1.2326653 7:2.4085479 8:-3.1110885 9:-0.4199004 10:-5.768721 11:1.3858433 12:-3.1704857 13:0.13005222 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:251.50966 2:6.0499067 3:3.8086278 4:-4.8635406 5:7.429114 6:-0.774035 7:1.6638957 8:-3.4584439 9:0.09558927 10:-4.400809 11:4.754385 12:-1.8877417 13:1.3630744 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
