1 1:219.81737 2:-5.538432 3:6.424727 4:-1.5648575 5:0.97538805 6:-0.08916773 7:6.326296 8:2.0614307 9:2.9819727 10:-3.7696962 11:1.7975729 12:0.0037816754 13:1.271552 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:222.00703 2:-3.796803 3:8.088583 4:0.83578116 5:3.4756777 6:0.44002065 7:6.96209 8:3.4037683 9:3.1215968 10:-4.2412367 11:1.9309491 12:-1.0303872 13:1.6737393 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:219.67592 2:-2.2390058 3:8.400224 4:2.4338577 5:2.8311932 6:-0.49297884 7:7.603865 8:0.7540501 9:4.132869 10:-5.560559 11:1.7585223 12:-1.0618888 13:0.67148244 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:219.13608 2:-4.064442 3:7.2625155 4:1.9493276 5:4.016029 6:2.391242 7:6.4796495 8:-0.18111986 9:4.374162 10:-3.2234209 11:2.407115 12:-0.77671933 13:0.2821525 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:216.24582 2:-4.660452 3:7.118689 4:0.45472485 5:0.6160534 6:0.8332792 7:7.0986395 8:1.3001419 9:4.390514 10:-4.0732923 11:2.0651617 12:-0.25875196 13:0.18492077 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:224.32974 2:0.10689345 3:7.5044045 4:-1.8905624 5:1.7588326 6:0.20202199 7:5.7684484 8:-1.3852522 9:3.325487 10:-1.8697761 11:1.4105519 12:-3.448041 13:1.369785 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:226.21161 2:1.654461 3:9.215625 4:-1.0867424 5:0.09716802 6:-1.4320447 7:5.8370423 8:-1.3918186 9:1.6219302 10:-3.368368 11:2.7521975 12:-2.7627056 13:2.279582 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:230.4576 2:3.8718784 3:12.664476 4:0.87897253 5:3.3551376 6:-0.7825712 7:7.2496624 8:-0.7356998 9:6.7761645 10:-3.9620526 11:1.8705087 12:-1.5869415 13:2.6783283 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:261.12497 2:11.983339 3:6.7262387 4:1.9471002 5:6.525645 6:-4.5037756 7:9.32437 8:-0.20448488 9:7.448677 10:-4.101231 11:4.1756845 12:-2.7195873 13:2.5841975 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:289.41144 2:22.302856 3:0.21697125 4:3.1038377 5:5.7109394 6:-7.6643796 7:10.9711485 8:-1.5619313 9:8.355201 10:-5.951054 11:5.590836 12:-4.9735713 13:4.427194 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:285.1586 2:23.035261 3:0.51947135 4:0.5902542 5:6.088344 6:-9.084474 7:10.634367 8:-1.0844352 9:8.170024 10:-5.45646 11:5.5190325 12:-4.1044836 13:4.043679 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:289.1958 2:23.89611 3:0.23009446 4:0.7503035 5:7.577028 6:-9.889735 7:9.206395 8:-0.8250269 9:7.781347 10:-4.7137914 11:5.149164 12:-5.3503256 13:5.2403 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:291.6798 2:23.68765 3:0.60531914 4:-0.47684404 5:7.9698653 6:-9.850147 7:8.4857855 8:-0.41066724 9:7.4504447 10:-4.5320597 11:5.203812 12:-5.463823 13:5.310544 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:305.3676 2:26.462511 3:3.132408 4:-2.61266 5:6.3806353 6:-11.91541 7:5.9674654 8:-1.2396083 9:6.660991 10:-6.325071 11:4.8089447 12:-5.927548 13:3.8251228 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
