2 1:207.36868 2:1.829038 3:10.190944 4:2.5527713 5:4.8139176 6:-1.5532039 7:4.4804125 8:-0.59745806 9:3.144975 10:-3.5959358 11:1.0612148 12:-1.7397443 13:3.965929 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:204.55762 2:0.8828237 3:9.685125 4:0.047494806 5:3.3753607 6:-1.8391503 7:3.453856 8:-0.52110213 9:2.169643 10:-2.979747 11:0.7111463 12:-1.1629461 13:3.58505 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:225.43304 2:-7.2969966 3:9.15434 4:2.0183465 5:5.8688664 6:1.0206709 7:1.208656 8:-2.6652482 9:1.9922152 10:-3.4230807 11:-0.93818456 12:1.7536993 13:4.2554255 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:225.36285 2:-6.2586665 3:8.294352 4:-0.058138184 5:4.57664 6:0.6620682 7:1.0367177 8:-4.436078 9:0.8016277 10:-2.6959496 11:-1.4008597 12:0.34156543 13:3.9321477 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:220.89786 2:-1.7643876 3:8.122857 4:-2.4106114 5:3.7932634 6:-2.909726 7:1.5134506 8:-3.226422 9:0.7956313 10:-2.705674 11:-1.4116673 12:-0.71392345 13:4.0177307 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:215.41158 2:-1.2711452 3:7.494318 4:-2.2182117 5:4.4719825 6:-1.0762225 7:3.692813 8:-1.0555774 9:1.9436295 10:-1.3786607 11:0.3679598 12:-2.120895 13:4.942882 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:215.02986 2:0.13923723 3:10.846151 4:-0.40302348 5:3.446498 6:0.6894671 7:5.332109 8:-2.2406929 9:3.547604 10:-2.6605945 11:0.48501885 12:0.55324775 13:1.8678799 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:218.68684 2:0.4443858 3:13.660519 4:2.1763198 5:3.7995036 6:1.6094797 7:5.3541923 8:-2.1856673 9:4.017536 10:-3.3738744 11:1.5486825 12:0.3911799 13:1.2973657 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:223.02031 2:-0.6293115 3:12.024 4:3.0983372 5:3.5002913 6:1.6027836 7:2.9000168 8:-2.4334774 9:4.1135197 10:-2.818756 11:2.6206162 12:-0.3097658 13:1.7673972 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:217.1318 2:-2.7900808 3:8.168664 4:0.7565613 5:4.2750444 6:0.44750732 7:5.680037 8:0.9471251 9:5.0551205 10:0.22949117 11:6.3820148 12:1.8746988 13:3.3064077 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:220.10101 2:-1.6937381 3:10.0398445 4:1.568171 5:6.365854 6:1.2197276 7:3.4889266 8:-1.2069318 9:3.5372167 10:0.37171465 11:3.4134743 12:-0.64907974 13:4.9439826 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:217.4911 2:-2.249342 3:10.376522 4:1.6934094 5:6.761365 6:2.4679022 7:3.2627523 8:-1.3154552 9:3.1578898 10:-1.2254562 11:3.30997 12:0.34053278 13:4.741092 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:233.80746 2:3.5830998 3:7.133012 4:-0.80765164 5:6.1531105 6:-2.4258204 7:3.1912775 8:-2.0503607 9:3.5346794 10:-1.4639634 11:4.300642 12:-1.5566174 13:4.3147364 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:223.01578 2:3.4183106 3:8.862064 4:-0.1670975 5:7.9984384 6:0.06194706 7:3.328165 8:-2.384889 9:2.7792256 10:-3.0363586 11:2.9653761 12:-1.2202314 13:4.337208 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:243.34386 2:8.863892 3:12.256578 4:3.2842336 5:9.885013 6:-0.5242002 7:5.497445 8:-3.8449295 9:2.310963 10:-5.029743 11:3.147972 12:-2.4651196 13:5.4034104 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:278.92416 2:12.93537 3:7.058361 4:0.10129309 5:10.188947 6:-0.106981225 7:7.5115047 8:-4.219212 9:3.958938 10:-4.248161 11:2.79777 12:-2.8861558 13:4.8870673 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
