2 1:211.3545 2:-4.111664 3:8.797822 4:0.61174136 5:0.8323575 6:1.5859859 7:5.0933075 8:-1.4824831 9:2.3983486 10:-0.5980657 11:3.5779984 12:-2.44759 13:1.6850762 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:209.27051 2:-4.438458 3:9.123664 4:2.378588 5:2.5724099 6:2.5934055 7:4.9773035 8:-1.413076 9:4.6109915 10:-2.2855113 11:2.0601022 12:-2.0424662 13:1.5872004 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:208.4825 2:-6.2959704 3:8.968348 4:0.48386678 5:2.9446056 6:-0.03941278 7:2.8769364 8:-3.433053 9:2.8763835 10:-0.35414252 11:2.055025 12:-2.847814 13:-1.1103829 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:209.77762 2:-6.9702444 3:8.3432 4:0.35051036 5:4.083674 6:-0.8875684 7:5.5716033 8:-1.3044842 9:1.6749678 10:-0.5195939 11:-0.023980027 12:-1.3624767 13:0.84373116 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:206.4664 2:-4.1128273 3:6.6737885 4:0.07226307 5:4.323361 6:-2.2239664 7:2.4937768 8:1.0086092 9:4.3804717 10:-1.2076079 11:1.6657034 12:-3.9804847 13:4.7976284 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:209.31534 2:-0.22448283 3:9.014319 4:-0.72039825 5:2.2234595 6:-1.0886285 7:3.790555 8:-0.6752067 9:2.2486067 10:-1.9033723 11:1.463802 12:-3.178163 13:4.1842756 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:207.56493 2:-1.1710622 3:6.372264 4:0.583142 5:1.0198203 6:-3.6840293 7:2.853262 8:-1.6885196 9:3.727227 10:-1.4373903 11:3.8377337 12:-3.1933615 13:1.5290852 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:211.08926 2:-1.043782 3:9.167753 4:1.0411581 5:2.3861957 6:-2.7570975 7:3.7761748 8:-0.29863477 9:2.7582126 10:-0.61508316 11:5.4267316 12:-1.6416031 13:1.6005553 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:229.65623 2:2.2174103 3:5.427446 4:-0.93245554 5:2.6577044 6:-2.1745148 7:3.115992 8:-1.4883533 9:3.8613498 10:-2.298848 11:3.4400258 12:-1.7269381 13:2.4807982 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:228.38304 2:3.2465189 3:5.474263 4:-1.188101 5:2.9698052 6:-1.3942877 7:3.5321982 8:-1.4642546 9:3.853732 10:-2.0706513 11:3.1483328 12:-1.669848 13:3.0089006 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:210.7847 2:0.35331696 3:7.654833 4:-0.040231816 5:4.0160522 6:-2.7748122 7:4.648854 8:-2.5191991 9:4.4438696 10:-0.2950401 11:3.354506 12:-0.9991892 13:3.6007302 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:208.9838 2:-1.3306693 3:5.2315674 4:-1.5003937 5:5.942855 6:1.3617882 7:5.91479 8:-0.39816374 9:5.0762863 10:-0.8272144 11:3.6963747 12:-1.391532 13:3.130427 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:205.7967 2:-6.2353168 3:4.1364756 4:0.62781984 5:3.2724547 6:-1.4048862 7:3.3597066 8:-0.44936636 9:3.8996248 10:2.9881413 11:6.071155 12:-1.7056707 13:1.8970997 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:205.91821 2:-4.3185062 3:5.0255027 4:0.97224104 5:2.8611035 6:-1.4569055 7:4.928701 8:-1.5830587 9:3.005789 10:2.5702398 11:3.5689654 12:-3.9462316 13:1.8602136 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:207.024 2:-1.9094929 3:7.44969 4:2.6504524 5:2.4634552 6:-1.638683 7:3.2346232 8:-1.8753579 9:2.7966418 10:2.045364 11:7.0460997 12:-4.1329412 13:0.46469438 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:207.40944 2:-1.1883965 3:7.0785522 4:1.391804 5:2.7891145 6:-0.41489866 7:4.54847 8:-1.1878035 9:4.3549495 10:2.372416 11:6.055997 12:-3.59335 13:0.05101854 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:205.67342 2:-1.5035796 3:7.480598 4:1.8408394 5:3.8230221 6:-1.7147398 7:4.5474854 8:-0.9491862 9:1.4791152 10:-1.359266 11:0.85470694 12:-3.8136523 13:3.6255364 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:204.5811 2:-2.3248913 3:5.5596986 4:0.5434723 5:4.6278257 6:-1.7655718 7:4.83497 8:-0.09557966 9:1.6732254 10:-2.246025 11:1.3813417 12:-2.7144773 13:0.22517264 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:205.4286 2:-0.66668236 3:6.823373 4:0.29524446 5:4.7065706 6:-2.130359 7:2.5924695 8:-2.32483 9:2.8845184 10:0.0031340583 11:3.876326 12:-3.2845426 13:2.2882314 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:204.73653 2:-2.8167195 3:9.000234 4:1.5050517 5:5.7951274 6:-0.009538062 7:4.9456024 8:-0.6069521 9:3.0967288 10:0.90613186 11:4.734885 12:-1.1293765 13:3.366245 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:209.17134 2:-1.0070326 3:10.262728 4:1.9497154 5:5.878837 6:-0.84223884 7:3.923534 8:-1.9533174 9:2.384203 10:-1.9672284 11:0.9074012 12:-1.6513947 13:3.5621817 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:209.15056 2:1.1460954 3:9.2985325 4:-0.24864995 5:5.4358873 6:1.6053108 7:4.5173907 8:-0.37295455 9:3.9320745 10:-1.7433615 11:3.5145152 12:-2.2871087 13:3.6599069 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:206.73683 2:-0.42713085 3:8.8485775 4:1.8415477 5:4.3821855 6:-1.3189873 7:2.8326774 8:-0.83700407 9:4.6433644 10:-2.0297713 11:2.1515222 12:-2.7381823 13:2.1202762 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:207.89037 2:-1.4069618 3:7.074192 4:0.5374775 5:6.1177125 6:-1.1091613 7:2.6026952 8:0.67166233 9:2.6125116 10:-2.0498881 11:4.5921597 12:-2.3820262 13:1.7375399 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:206.87276 2:-0.56559783 3:8.314754 4:1.257305 5:3.87094 6:-1.6891631 7:2.9747186 8:-0.6224426 9:5.712847 10:1.4321022 11:4.879705 12:-2.007631 13:2.4395845 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:207.1944 2:0.6422194 3:7.484051 4:0.10355003 5:5.8643174 6:-0.65149516 7:3.126587 8:-2.3256733 9:5.438796 10:1.6586046 11:2.802 12:-2.191094 13:1.1886866 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:211.13806 2:2.935334 3:10.483171 4:0.5252622 5:4.3032107 6:-1.8882759 7:2.7731068 8:-1.0563614 9:2.280403 10:-3.4415011 11:2.2197511 12:-2.2296388 13:3.7983706 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:211.982 2:3.7820635 3:11.945227 4:0.23243637 5:4.5834994 6:-1.1036462 7:4.6930785 8:-0.28329456 9:1.8236656 10:-3.0231829 11:2.6828494 12:-0.94856316 13:5.396072 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:207.93303 2:0.81443495 3:6.659216 4:0.16370101 5:5.178066 6:-0.43626788 7:5.3070483 8:-0.26841497 9:3.1763046 10:-1.9920269 11:2.419064 12:-1.8469352 13:3.9887044 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:204.7778 2:0.26795045 3:6.7178583 4:-1.1208727 5:3.7340417 6:-1.0631205 7:3.7719994 8:-0.43485704 9:2.1289206 10:-2.5254054 11:0.70892626 12:-2.6051867 13:2.8424633 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:206.7459 2:1.5434458 3:10.084744 4:1.9084644 5:6.254715 6:-1.4101379 7:3.3466132 8:-2.4071293 9:2.0988696 10:-2.8893387 11:2.226716 12:-1.4185023 13:3.1088786 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:210.92224 2:0.8974236 3:9.894316 4:1.3605391 5:5.5623913 6:-1.8474017 7:3.0247324 8:-2.3541996 9:0.94990623 10:-2.956784 11:5.127269 12:0.7712075 13:4.681412 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:212.31137 2:2.0198784 3:9.472208 4:1.9238732 5:4.8027544 6:-2.526113 7:3.6161149 8:-2.926153 9:-0.43750092 10:-1.2218728 11:4.3632836 12:-2.4985335 13:2.3926558 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:208.18723 2:0.998964 3:10.544188 4:2.8276913 5:4.88644 6:-2.2362173 7:4.199454 8:-2.3243246 9:0.19610652 10:-1.8644608 11:3.5454514 12:-2.6337018 13:2.1080909 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:206.026 2:1.5568278 3:8.793247 4:0.9893012 5:5.035616 6:-3.8083754 7:2.3984365 8:-1.7542082 9:1.101814 10:-2.7139165 11:4.3475027 12:-0.36296347 13:2.6578481 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:206.88498 2:2.8016589 3:8.9009905 4:-0.06229351 5:4.509976 6:-1.9181826 7:5.1914945 8:-0.42856765 9:1.5490395 10:-2.2242825 11:4.6379504 12:-1.2917674 13:1.7590119 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:210.80571 2:2.5534897 3:6.621398 4:2.413068 5:5.705486 6:-0.8059939 7:3.5428112 8:-2.0034828 9:3.4232872 10:-3.0966668 11:2.2695034 12:-3.6944375 13:3.4310021 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
