1 1:224.05223 2:3.0612507 3:4.4934387 4:-1.2952467 5:4.2157006 6:-2.828618 7:3.2921073 8:-1.6190172 9:2.6608703 10:-2.0035527 11:4.2580004 12:-1.9080633 13:2.0196753 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:226.36227 2:3.7938657 3:3.3843331 4:-3.425177 5:4.3530316 6:-0.40916163 7:3.2907977 8:-1.6072487 9:3.279513 10:-3.4103062 11:3.2152898 12:-3.7604494 13:3.4610865 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:225.97946 2:3.2057436 3:4.872785 4:-3.0461743 5:3.3835237 6:0.058877062 7:3.961454 8:-2.3480105 9:3.411757 10:-2.7894006 11:3.422072 12:-2.9878333 13:1.9672402 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:227.571 2:3.505169 3:3.1012561 4:-4.752299 5:4.6860313 6:0.9089049 7:4.3942146 8:-0.46829733 9:2.403565 10:-2.6087813 11:3.9020128 12:-3.1163015 13:4.028944 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:226.6742 2:4.394835 3:4.0392313 4:-4.500634 5:3.3403924 6:-1.3364626 7:3.4380214 8:-1.5672289 9:2.5179296 10:-2.5380065 11:5.427083 12:-1.2396216 13:2.0058603 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:227.32483 2:5.416541 3:2.6818328 4:-2.177599 5:3.6487136 6:-1.0208666 7:4.2627726 8:-3.0634992 9:1.3724837 10:-1.9063052 11:4.4028263 12:-2.804198 13:4.17974 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:229.93016 2:5.7774067 3:2.783089 4:-1.37289 5:3.9784307 6:-0.6615995 7:4.6274166 8:-3.4610546 9:3.72282 10:-1.234608 11:3.5937812 12:-3.3543794 13:3.6023707 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:226.49358 2:3.6590147 3:1.9156901 4:-1.8452783 5:4.53546 6:-2.5135865 7:3.2039526 8:-1.1001452 9:3.9741142 10:-1.4601321 11:3.834852 12:-1.8710176 13:4.1093416 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:230.33374 2:4.9234967 3:2.698751 4:-2.4668088 5:4.3514724 6:-2.553708 7:4.412908 8:-1.9139049 9:2.7980564 10:-1.9728163 11:4.467353 12:-1.6520138 13:4.0673566 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:229.25832 2:6.3245335 3:5.1899357 4:-1.8134562 5:3.0224752 6:-3.0434675 7:1.918527 8:-2.8290162 9:2.4247386 10:-4.154105 11:1.7662972 12:-1.0763466 13:4.5112786 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:226.76366 2:5.0611978 3:4.0899115 4:-3.454929 5:1.2866368 6:-4.5503283 7:4.105446 8:-1.4112188 9:1.0886912 10:-3.50428 11:3.9872944 12:-1.0696499 13:3.1151576 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:229.57181 2:5.786052 3:4.237963 4:-2.9691806 5:0.91522574 6:-3.466943 7:3.2990005 8:-1.5060908 9:5.561932 10:-0.8844725 11:4.599625 12:-2.28984 13:5.53458 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:228.51375 2:5.159866 3:5.028905 4:-2.6046462 5:2.1235805 6:-1.4201465 7:4.6234407 8:-1.2587821 9:3.768398 10:-1.28772 11:4.945364 12:-1.3149703 13:5.473729 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:239.37143 2:6.101768 3:4.348623 4:-0.07157117 5:4.264419 6:-1.1765864 7:6.2112546 8:-2.402296 9:2.9391847 10:-4.1189 11:3.1692219 12:-2.0362637 13:4.2675586 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:231.67708 2:4.897614 3:4.828235 4:-1.1392905 5:3.0385957 6:-0.4667731 7:6.363799 8:-2.4446228 9:3.7947369 10:-1.743981 11:5.2896 12:-1.4586793 13:3.8918228 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
