2 1:167.76036 2:7.1912656 3:1.4599231 4:-1.8539853 5:6.2064447 6:-3.8596692 7:2.2266982 8:-4.37391 9:5.480209 10:-2.2106445 11:4.875028 12:-3.4736757 13:2.0258906 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:167.76036 2:7.1912656 3:1.4599231 4:-1.8539853 5:6.2064447 6:-3.8596692 7:2.2266982 8:-4.37391 9:5.480209 10:-2.2106445 11:4.875028 12:-3.4736757 13:2.0258906 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:153.0252 2:3.3882058 3:3.8197336 4:-3.2125516 5:4.163344 6:-3.617038 7:5.031194 8:-1.9050395 9:3.0860944 10:-2.223809 11:3.8518643 12:-0.09171528 13:3.6490943 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:153.0252 2:3.3882058 3:3.8197336 4:-3.2125516 5:4.163344 6:-3.617038 7:5.031194 8:-1.9050395 9:3.0860944 10:-2.223809 11:3.8518643 12:-0.09171528 13:3.6490943 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:146.32843 2:7.137289 3:7.100967 4:0.42520064 5:4.2203135 6:-4.528313 7:4.1606245 8:-4.3306413 9:2.0604732 10:-0.78390557 11:3.920285 12:-1.1969421 13:4.1621366 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:146.32843 2:7.137289 3:7.100967 4:0.42520064 5:4.2203135 6:-4.528313 7:4.1606245 8:-4.3306413 9:2.0604732 10:-0.78390557 11:3.920285 12:-1.1969421 13:4.1621366 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:135.48732 2:6.1643577 3:4.1661673 4:-5.2141733 5:1.7089431 6:-3.947482 7:4.906764 8:0.626228 9:2.9493306 10:-3.466349 11:1.9671715 12:-2.5472577 13:4.051112 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:135.48732 2:6.1643577 3:4.1661673 4:-5.2141733 5:1.7089431 6:-3.947482 7:4.906764 8:0.626228 9:2.9493306 10:-3.466349 11:1.9671715 12:-2.5472577 13:4.051112 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:127.30728 2:5.4313126 3:5.487741 4:-2.5512712 5:6.1778474 6:-2.7578633 7:1.6050225 8:-2.1040084 9:4.2384315 10:-1.6282656 11:2.6543205 12:-1.5455607 13:3.5559185 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:127.30728 2:5.4313126 3:5.487741 4:-2.5512712 5:6.1778474 6:-2.7578633 7:1.6050225 8:-2.1040084 9:4.2384315 10:-1.6282656 11:2.6543205 12:-1.5455607 13:3.5559185 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
