2 1:138.49113 2:12.06487 3:11.369199 4:-0.77081436 5:5.049139 6:-5.053642 7:1.3219647 8:-4.136324 9:2.7563057 10:-2.1463602 11:5.2207084 12:-1.8022183 13:2.6926382 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:138.49113 2:12.06487 3:11.369199 4:-0.77081436 5:5.049139 6:-5.053642 7:1.3219647 8:-4.136324 9:2.7563057 10:-2.1463602 11:5.2207084 12:-1.8022183 13:2.6926382 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:142.59413 2:14.769247 3:10.718464 4:-0.39195573 5:7.4073944 6:-7.591729 7:-0.713336 8:-4.0882254 9:3.1014104 10:-2.6732411 11:4.000688 12:-4.507884 13:4.14647 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:142.59413 2:14.769247 3:10.718464 4:-0.39195573 5:7.4073944 6:-7.591729 7:-0.713336 8:-4.0882254 9:3.1014104 10:-2.6732411 11:4.000688 12:-4.507884 13:4.14647 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:139.19011 2:11.479785 3:9.699894 4:-0.15154766 5:2.3927457 6:-4.483936 7:0.93192196 8:-3.4556077 9:1.3849602 10:-4.7903676 11:0.07223651 12:-5.3543034 13:4.509866 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:139.19011 2:11.479785 3:9.699894 4:-0.15154766 5:2.3927457 6:-4.483936 7:0.93192196 8:-3.4556077 9:1.3849602 10:-4.7903676 11:0.07223651 12:-5.3543034 13:4.509866 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:143.89688 2:8.268362 3:9.980843 4:-0.62060046 5:3.849364 6:-3.3592627 7:2.1171076 8:-4.2217875 9:1.9486156 10:-2.2013218 11:3.7775037 12:-1.8509403 13:4.4217706 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:143.89688 2:8.268362 3:9.980843 4:-0.62060046 5:3.849364 6:-3.3592627 7:2.1171076 8:-4.2217875 9:1.9486156 10:-2.2013218 11:3.7775037 12:-1.8509403 13:4.4217706 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:141.1586 2:9.085875 3:11.293323 4:-0.40275374 5:5.109009 6:-2.5930767 7:-0.1287231 8:-3.8560638 9:3.6886694 10:-1.9526182 11:4.1654167 12:-3.8202088 13:3.8552585 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:141.1586 2:9.085875 3:11.293323 4:-0.40275374 5:5.109009 6:-2.5930767 7:-0.1287231 8:-3.8560638 9:3.6886694 10:-1.9526182 11:4.1654167 12:-3.8202088 13:3.8552585 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:146.68465 2:8.242293 3:10.46916 4:0.278363 5:4.6293435 6:-5.680068 7:0.60622597 8:-4.8961544 9:4.0928135 10:-0.5634313 11:5.41352 12:0.28026927 13:5.03503 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:146.68465 2:8.242293 3:10.46916 4:0.278363 5:4.6293435 6:-5.680068 7:0.60622597 8:-4.8961544 9:4.0928135 10:-0.5634313 11:5.41352 12:0.28026927 13:5.03503 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:148.8312 2:7.5079107 3:8.609627 4:1.4938991 5:2.1859243 6:-4.223027 7:3.2847958 8:-5.6877003 9:3.5820277 10:-2.0012276 11:1.8126066 12:-5.3736377 13:4.9480696 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:148.8312 2:7.5079107 3:8.609627 4:1.4938991 5:2.1859243 6:-4.223027 7:3.2847958 8:-5.6877003 9:3.5820277 10:-2.0012276 11:1.8126066 12:-5.3736377 13:4.9480696 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
