1 1:192.90665 2:1.6862482 3:3.135703 4:-1.7501292 5:7.6713204 6:-1.0171059 7:1.389319 8:-1.1807535 9:3.4097424 10:-4.22577 11:2.7672014 12:-3.3726866 13:4.422231 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:192.90665 2:1.6862482 3:3.135703 4:-1.7501292 5:7.6713204 6:-1.0171059 7:1.389319 8:-1.1807535 9:3.4097424 10:-4.22577 11:2.7672014 12:-3.3726866 13:4.422231 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:198.14427 2:2.851714 3:2.8085637 4:-0.9587416 5:4.487648 6:-2.8889847 7:0.5760061 8:-2.010436 9:1.9295689 10:-3.3000112 11:2.763583 12:-4.284357 13:2.8023543 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:198.14427 2:2.851714 3:2.8085637 4:-0.9587416 5:4.487648 6:-2.8889847 7:0.5760061 8:-2.010436 9:1.9295689 10:-3.3000112 11:2.763583 12:-4.284357 13:2.8023543 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:196.01065 2:0.4961588 3:4.435672 4:0.28268442 5:5.2273736 6:-1.9854485 7:-1.276688 8:-2.935166 9:3.1052978 10:-5.1247525 11:3.2537258 12:-1.590708 13:4.732614 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:196.01065 2:0.4961588 3:4.435672 4:0.28268442 5:5.2273736 6:-1.9854485 7:-1.276688 8:-2.935166 9:3.1052978 10:-5.1247525 11:3.2537258 12:-1.590708 13:4.732614 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:189.1239 2:-3.033977 3:3.2964022 4:-1.2719111 5:4.841932 6:-1.8488395 7:2.0983558 8:-2.3954923 9:6.0189514 10:0.40932548 11:3.495822 12:-2.184237 13:2.1542869 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:189.1239 2:-3.033977 3:3.2964022 4:-1.2719111 5:4.841932 6:-1.8488395 7:2.0983558 8:-2.3954923 9:6.0189514 10:0.40932548 11:3.495822 12:-2.184237 13:2.1542869 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:191.56306 2:0.052699793 3:6.4749613 4:0.3800317 5:2.0710695 6:-0.022779396 7:2.8211539 8:-5.502279 9:3.2158692 10:0.47833785 11:2.5782413 12:-2.4995575 13:4.487409 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:191.56306 2:0.052699793 3:6.4749613 4:0.3800317 5:2.0710695 6:-0.022779396 7:2.8211539 8:-5.502279 9:3.2158692 10:0.47833785 11:2.5782413 12:-2.4995575 13:4.487409 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:194.64551 2:0.24967062 3:5.7891946 4:0.107810095 5:5.2132764 6:-1.2655032 7:0.4385614 8:-4.3549566 9:1.3825036 10:-1.8804682 11:1.1765913 12:-4.353395 13:3.5424268 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:194.64551 2:0.24967062 3:5.7891946 4:0.107810095 5:5.2132764 6:-1.2655032 7:0.4385614 8:-4.3549566 9:1.3825036 10:-1.8804682 11:1.1765913 12:-4.353395 13:3.5424268 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:197.27147 2:1.2494586 3:3.9808931 4:1.242398 5:2.0608547 6:-0.8017723 7:2.6219003 8:-0.3458573 9:7.295851 10:-2.7653344 11:4.895421 12:-2.1911352 13:3.1600008 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:197.27147 2:1.2494586 3:3.9808931 4:1.242398 5:2.0608547 6:-0.8017723 7:2.6219003 8:-0.3458573 9:7.295851 10:-2.7653344 11:4.895421 12:-2.1911352 13:3.1600008 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:206.47102 2:-10.113691 3:5.1642694 4:3.3372529 5:-2.8817763 6:3.816718 7:-2.9854844 8:-4.8293576 9:5.0651712 10:-4.6503673 11:5.079575 12:-4.347295 13:3.656468 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:206.47102 2:-10.113691 3:5.1642694 4:3.3372529 5:-2.8817763 6:3.816718 7:-2.9854844 8:-4.8293576 9:5.0651712 10:-4.6503673 11:5.079575 12:-4.347295 13:3.656468 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:201.72772 2:-3.606462 3:0.6801869 4:0.6402438 5:2.575589 6:1.380365 7:3.6340017 8:-1.028243 9:5.68109 10:-3.442256 11:4.034106 12:-2.3067667 13:2.5678515 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
