1 1:169.2128 2:0.2547522 3:-3.010329 4:-5.5815487 5:6.0777535 6:-4.220173 7:2.473488 8:0.24966413 9:2.9179432 10:-3.8224382 11:1.8142254 12:-2.8143668 13:1.4541855 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:169.2128 2:0.2547522 3:-3.010329 4:-5.5815487 5:6.0777535 6:-4.220173 7:2.473488 8:0.24966413 9:2.9179432 10:-3.8224382 11:1.8142254 12:-2.8143668 13:1.4541855 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:178.31143 2:5.8632956 3:1.0615999 4:-5.036404 5:2.4636393 6:-3.7186253 7:-0.19854255 8:-2.130777 9:5.491683 10:-0.48337135 11:1.6963621 12:-3.4348004 13:1.469358 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:178.31143 2:5.8632956 3:1.0615999 4:-5.036404 5:2.4636393 6:-3.7186253 7:-0.19854255 8:-2.130777 9:5.491683 10:-0.48337135 11:1.6963621 12:-3.4348004 13:1.469358 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:168.84825 2:3.0601034 3:1.4326638 4:-1.8565452 5:3.0703428 6:-2.7670045 7:3.8013988 8:-0.33918077 9:6.7896237 10:-0.85681 11:1.6405184 12:-1.8773303 13:3.9576347 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:168.84825 2:3.0601034 3:1.4326638 4:-1.8565452 5:3.0703428 6:-2.7670045 7:3.8013988 8:-0.33918077 9:6.7896237 10:-0.85681 11:1.6405184 12:-1.8773303 13:3.9576347 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:167.3446 2:-0.9579867 3:1.8284316 4:-4.1356707 5:3.7294066 6:-0.69943243 7:-0.0390602 8:0.00510421 9:7.6398563 10:-2.1250658 11:-0.32301742 12:-4.6902876 13:1.7313074 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:167.3446 2:-0.9579867 3:1.8284316 4:-4.1356707 5:3.7294066 6:-0.69943243 7:-0.0390602 8:0.00510421 9:7.6398563 10:-2.1250658 11:-0.32301742 12:-4.6902876 13:1.7313074 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:168.7415 2:1.633955 3:2.3418236 4:-5.5505004 5:0.07735082 6:-3.5018852 7:-0.5095151 8:-1.5905092 9:2.8094764 10:-4.4999943 11:0.84594166 12:-3.0048518 13:4.242908 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:168.7415 2:1.633955 3:2.3418236 4:-5.5505004 5:0.07735082 6:-3.5018852 7:-0.5095151 8:-1.5905092 9:2.8094764 10:-4.4999943 11:0.84594166 12:-3.0048518 13:4.242908 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
