2 1:103.1438 2:-1.3052286 3:4.409211 4:-2.792461 5:1.4668115 6:-0.14347954 7:5.043968 8:-1.3282658 9:3.3018575 10:-2.1075006 11:2.993602 12:-5.104209 13:3.884735 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:111.446976 2:-0.81188416 3:5.3836756 4:-3.4344137 5:1.5182798 6:-3.5865426 7:1.2201787 8:-0.14975257 9:3.6752846 10:-2.5729492 11:4.2091904 12:-1.1315572 13:2.9627533 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:111.446976 2:-0.81188416 3:5.3836756 4:-3.4344137 5:1.5182798 6:-3.5865426 7:1.2201787 8:-0.14975257 9:3.6752846 10:-2.5729492 11:4.2091904 12:-1.1315572 13:2.9627533 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:104.64269 2:2.0896823 3:9.331024 4:-0.63813883 5:5.953599 6:0.2690087 7:2.1187928 8:-2.471565 9:1.8674166 10:-3.7187428 11:4.9710937 12:-0.7187803 13:4.0247087 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:104.64269 2:2.0896823 3:9.331024 4:-0.63813883 5:5.953599 6:0.2690087 7:2.1187928 8:-2.471565 9:1.8674166 10:-3.7187428 11:4.9710937 12:-0.7187803 13:4.0247087 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:106.64718 2:-2.3448043 3:4.5557375 4:-2.2941089 5:2.3255444 6:-2.5747585 7:3.6892684 8:-3.2211437 9:1.3974036 10:-2.049956 11:3.4069867 12:-2.108058 13:4.26551 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:106.64718 2:-2.3448043 3:4.5557375 4:-2.2941089 5:2.3255444 6:-2.5747585 7:3.6892684 8:-3.2211437 9:1.3974036 10:-2.049956 11:3.4069867 12:-2.108058 13:4.26551 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:107.56013 2:0.07872277 3:5.2769465 4:-0.00455812 5:7.581651 6:-1.5094676 7:3.2421026 8:-1.6094252 9:4.9258413 10:-1.2357508 11:1.9778758 12:-1.2643938 13:-0.428745 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:107.56013 2:0.07872277 3:5.2769465 4:-0.00455812 5:7.581651 6:-1.5094676 7:3.2421026 8:-1.6094252 9:4.9258413 10:-1.2357508 11:1.9778758 12:-1.2643938 13:-0.428745 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:105.39665 2:3.3070037 3:9.272192 4:0.24031828 5:3.8836331 6:-2.1064749 7:5.024747 8:0.22408454 9:4.087855 10:-4.49351 11:2.1660166 12:-0.7853426 13:4.590067 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:105.39665 2:3.3070037 3:9.272192 4:0.24031828 5:3.8836331 6:-2.1064749 7:5.024747 8:0.22408454 9:4.087855 10:-4.49351 11:2.1660166 12:-0.7853426 13:4.590067 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:108.96583 2:0.638404 3:5.616938 4:-1.8037081 5:1.4822367 6:-3.3618786 7:5.5302925 8:-2.5353463 9:3.6730895 10:-0.34894487 11:2.2581823 12:-1.6402589 13:4.496445 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:108.96583 2:0.638404 3:5.616938 4:-1.8037081 5:1.4822367 6:-3.3618786 7:5.5302925 8:-2.5353463 9:3.6730895 10:-0.34894487 11:2.2581823 12:-1.6402589 13:4.496445 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:106.93655 2:1.7319099 3:8.983834 4:-2.0465178 5:4.3442693 6:-1.866337 7:3.7672737 8:1.4535682 9:3.184049 10:-0.7395553 11:1.5956887 12:-4.847496 13:3.9130483 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:106.93655 2:1.7319099 3:8.983834 4:-2.0465178 5:4.3442693 6:-1.866337 7:3.7672737 8:1.4535682 9:3.184049 10:-0.7395553 11:1.5956887 12:-4.847496 13:3.9130483 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:110.98574 2:3.19893 3:10.987873 4:-2.0766888 5:3.4359553 6:-3.3150234 7:-0.6939595 8:-2.2562952 9:3.5720315 10:0.19344011 11:4.8489594 12:-0.009919777 13:2.1987698 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
