1 1:229.23274 2:1.2920885 3:0.061147742 4:-3.739761 5:0.9464446 6:-3.4300442 7:4.0745206 8:-1.6848354 9:3.4816155 10:-2.0526493 11:2.6180444 12:-4.093056 13:2.7697618 14:83.7856 15:7.733995 16:4.4064736 17:-0.2236641 18:2.7470784 19:-2.0588186 20:0.62596655 21:-1.6902918 22:2.0049617 23:-1.1036918 24:1.3550011 25:-1.5176356 26:2.0148141 
1 1:229.69394 2:2.5469885 3:2.2582502 4:-3.9349542 5:0.6455207 6:-2.5197597 7:5.0781646 8:-2.8042908 9:2.3552094 10:-1.8781936 11:2.9282 12:-2.1748188 13:4.1615887 14:83.7856 15:7.733995 16:4.4064736 17:-0.2236641 18:2.7470784 19:-2.0588186 20:0.62596655 21:-1.6902918 22:2.0049617 23:-1.1036918 24:1.3550011 25:-1.5176356 26:2.0148141 
1 1:229.51175 2:2.223908 3:2.5985997 4:-2.205374 5:2.3119614 6:-1.5394595 7:5.387696 8:-2.470788 9:4.0102463 10:-2.3750186 11:2.2834249 12:-2.9209454 13:3.11863 14:83.7856 15:7.733995 16:4.4064736 17:-0.2236641 18:2.7470784 19:-2.0588186 20:0.62596655 21:-1.6902918 22:2.0049617 23:-1.1036918 24:1.3550011 25:-1.5176356 26:2.0148141 
1 1:225.9031 2:-1.7490666 3:-0.72439516 4:-4.010553 5:0.09816415 6:-2.8384838 7:5.5660176 8:-1.5626624 9:2.5326967 10:-1.4284971 11:3.2065144 12:-4.00168 13:0.66709054 14:83.7856 15:7.733995 16:4.4064736 17:-0.2236641 18:2.7470784 19:-2.0588186 20:0.62596655 21:-1.6902918 22:2.0049617 23:-1.1036918 24:1.3550011 25:-1.5176356 26:2.0148141 
1 1:226.66281 2:-0.8780688 3:1.2044325 4:-2.4516351 5:2.125852 6:-3.1683054 7:3.88419 8:-2.6378987 9:1.3104879 10:-0.17312339 11:3.1086314 12:-3.8819065 13:1.7645818 14:83.7856 15:7.733995 16:4.4064736 17:-0.2236641 18:2.7470784 19:-2.0588186 20:0.62596655 21:-1.6902918 22:2.0049617 23:-1.1036918 24:1.3550011 25:-1.5176356 26:2.0148141 
1 1:232.36214 2:4.632387 3:4.4734855 4:-0.9800733 5:2.191376 6:-4.0146294 7:1.9476444 8:-1.1911492 9:4.249677 10:-1.8713303 11:3.9087508 12:-6.109949 13:0.1270919 14:83.7856 15:7.733995 16:4.4064736 17:-0.2236641 18:2.7470784 19:-2.0588186 20:0.62596655 21:-1.6902918 22:2.0049617 23:-1.1036918 24:1.3550011 25:-1.5176356 26:2.0148141 
1 1:233.85501 2:4.649753 3:4.441338 4:-1.1309961 5:3.834082 6:-2.8584218 7:2.8114123 8:-0.9895234 9:2.8187337 10:-2.8274186 11:4.0744348 12:-4.1123376 13:0.60488313 14:83.7856 15:7.733995 16:4.4064736 17:-0.2236641 18:2.7470784 19:-2.0588186 20:0.62596655 21:-1.6902918 22:2.0049617 23:-1.1036918 24:1.3550011 25:-1.5176356 26:2.0148141 
1 1:229.28798 2:4.27299 3:4.43682 4:-2.9582071 5:0.6373479 6:-2.9030688 7:3.8332205 8:-1.6369069 9:2.4980733 10:-4.864517 11:2.6285508 12:-2.8360088 13:2.983508 14:83.7856 15:7.733995 16:4.4064736 17:-0.2236641 18:2.7470784 19:-2.0588186 20:0.62596655 21:-1.6902918 22:2.0049617 23:-1.1036918 24:1.3550011 25:-1.5176356 26:2.0148141 
1 1:231.58434 2:5.3353105 3:3.8351517 4:-3.3114195 5:2.9359121 6:-0.50856304 7:3.8009338 8:-2.7715385 9:2.8388927 10:-3.4821072 11:3.9292026 12:-1.7109135 13:2.588243 14:83.7856 15:7.733995 16:4.4064736 17:-0.2236641 18:2.7470784 19:-2.0588186 20:0.62596655 21:-1.6902918 22:2.0049617 23:-1.1036918 24:1.3550011 25:-1.5176356 26:2.0148141 
1 1:227.78656 2:2.413283 3:3.240947 4:-2.1362815 5:2.8391838 6:-3.3333483 7:2.3027847 8:-2.7744215 9:2.645649 10:-3.2556329 11:3.135246 12:-3.0687664 13:1.632171 14:83.7856 15:7.733995 16:4.4064736 17:-0.2236641 18:2.7470784 19:-2.0588186 20:0.62596655 21:-1.6902918 22:2.0049617 23:-1.1036918 24:1.3550011 25:-1.5176356 26:2.0148141 
