2 1:238.23111 2:2.8212476 3:5.27173 4:-3.3575418 5:2.610298 6:-2.6565323 7:3.3971841 8:0.051733553 9:3.6919281 10:-1.5599923 11:3.1002834 12:-1.5575078 13:3.5649576 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:236.26483 2:1.6001949 3:4.670157 4:-2.6606054 5:1.8788083 6:-2.6067452 7:4.1897693 8:0.3543172 9:2.735688 10:-2.3587723 11:2.458723 12:-3.414443 13:2.5754797 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:229.00511 2:-2.1719222 3:0.107495114 4:-2.4035535 5:0.46501252 6:-0.21397553 7:5.1734495 8:-0.14777821 9:3.1392033 10:-0.38311923 11:5.8552175 12:-0.8279948 13:4.797988 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:229.83942 2:-1.7930337 3:0.7712522 4:-2.7738893 5:3.0044487 6:0.92499167 7:4.9953194 8:-1.8321022 9:2.6512194 10:-1.984504 11:4.1815615 12:0.5847317 13:5.7701106 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:231.56775 2:2.0963762 3:3.6180646 4:-3.8479247 5:1.0984135 6:-1.9325584 7:4.7764773 8:-2.8213506 9:-0.59352267 10:-1.4191272 11:2.1232677 12:-4.3348217 13:3.9027832 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:229.64447 2:-0.39972615 3:1.6988163 4:-6.345157 5:-1.9403514 6:-2.3868804 7:2.472621 8:-2.1294932 9:0.88357764 10:-2.0391505 11:2.6085086 12:-5.1572747 13:2.03635 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:232.91618 2:3.9697826 3:4.466948 4:-5.595559 5:1.6679811 6:-1.4060501 7:3.6770215 8:-0.33281818 9:2.3798833 10:-0.43551067 11:4.8134894 12:-3.3297672 13:3.1339288 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:233.84311 2:4.686587 3:3.6985178 4:-5.4421177 5:2.0371826 6:-2.1680136 7:3.8686564 8:-1.1724985 9:2.9830008 10:-0.70941347 11:3.7395716 12:-2.544312 13:3.9996738 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:230.78973 2:3.634807 3:5.1076417 4:-4.615327 5:0.96784365 6:-4.684656 7:3.0951145 8:-0.6784667 9:1.7450014 10:-2.3145082 11:3.8410962 12:-3.7033992 13:1.6527418 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:231.99649 2:4.1892304 3:6.3265395 4:-1.8841894 5:2.151007 6:-3.2891614 7:2.3722787 8:-1.9523154 9:4.6264405 10:-0.74240005 11:4.8653526 12:-2.4703205 13:1.3409766 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
