2 1:206.07867 2:0.19736025 3:5.6824374 4:0.93378985 5:1.5181271 6:-3.0033772 7:-1.8723897 8:-1.8701212 9:3.7301958 10:-1.9684978 11:3.145567 12:-3.4525986 13:4.8919086 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:206.07867 2:0.19736025 3:5.6824374 4:0.93378985 5:1.5181271 6:-3.0033772 7:-1.8723897 8:-1.8701212 9:3.7301958 10:-1.9684978 11:3.145567 12:-3.4525986 13:4.8919086 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:211.2999 2:1.1665145 3:4.2547035 4:-0.86186194 5:2.0328481 6:-2.872032 7:-0.65716106 8:-5.2288127 9:1.2291607 10:-0.07914517 11:2.2416766 12:-2.4439218 13:7.6601863 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:211.2999 2:1.1665145 3:4.2547035 4:-0.86186194 5:2.0328481 6:-2.872032 7:-0.65716106 8:-5.2288127 9:1.2291607 10:-0.07914517 11:2.2416766 12:-2.4439218 13:7.6601863 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:207.52191 2:2.0855238 3:5.227938 4:1.5632167 5:-1.2151012 6:-3.8514843 7:2.1267395 8:-2.4295785 9:3.2890074 10:-2.7081969 11:3.26836 12:-1.5670017 13:5.9177523 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:207.52191 2:2.0855238 3:5.227938 4:1.5632167 5:-1.2151012 6:-3.8514843 7:2.1267395 8:-2.4295785 9:3.2890074 10:-2.7081969 11:3.26836 12:-1.5670017 13:5.9177523 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:211.98837 2:4.7730236 3:0.4157593 4:-2.933045 5:-0.8842428 6:-4.192599 7:0.49569586 8:-2.4869082 9:2.2177362 10:-0.34077004 11:7.212381 12:-3.6534798 13:3.4788365 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:211.98837 2:4.7730236 3:0.4157593 4:-2.933045 5:-0.8842428 6:-4.192599 7:0.49569586 8:-2.4869082 9:2.2177362 10:-0.34077004 11:7.212381 12:-3.6534798 13:3.4788365 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:210.81798 2:2.8081431 3:3.5679052 4:-3.842943 5:1.0558943 6:-5.7446485 7:1.332174 8:-1.7443619 9:0.0025780366 10:-2.517201 11:1.7689735 12:-0.07878175 13:4.3024554 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:210.81798 2:2.8081431 3:3.5679052 4:-3.842943 5:1.0558943 6:-5.7446485 7:1.332174 8:-1.7443619 9:0.0025780366 10:-2.517201 11:1.7689735 12:-0.07878175 13:4.3024554 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:215.79996 2:4.125906 3:5.76352 4:-3.9761992 5:1.2595726 6:0.2355328 7:2.083277 8:-1.0044035 9:-0.021830939 10:-0.91763794 11:2.8809483 12:-1.7894136 13:6.0572248 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:215.79996 2:4.125906 3:5.76352 4:-3.9761992 5:1.2595726 6:0.2355328 7:2.083277 8:-1.0044035 9:-0.021830939 10:-0.91763794 11:2.8809483 12:-1.7894136 13:6.0572248 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:214.58194 2:4.3152046 3:3.699061 4:-5.252277 5:1.7028354 6:-0.9905574 7:0.95778817 8:-4.3306065 9:-0.20097052 10:-1.6669374 11:2.6176043 12:-1.5992707 13:4.9298496 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:214.58194 2:4.3152046 3:3.699061 4:-5.252277 5:1.7028354 6:-0.9905574 7:0.95778817 8:-4.3306065 9:-0.20097052 10:-1.6669374 11:2.6176043 12:-1.5992707 13:4.9298496 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:215.76207 2:2.8142927 3:4.574648 4:-4.805018 5:2.3977168 6:-1.8350561 7:-0.018323034 8:-3.3512805 9:-0.67795974 10:-3.3138466 11:2.5669928 12:-2.8321276 13:4.1209292 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:215.76207 2:2.8142927 3:4.574648 4:-4.805018 5:2.3977168 6:-1.8350561 7:-0.018323034 8:-3.3512805 9:-0.67795974 10:-3.3138466 11:2.5669928 12:-2.8321276 13:4.1209292 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:215.24323 2:-0.5970648 3:1.7266427 4:-2.536193 5:2.8833451 6:-2.7547736 7:3.118578 8:-2.963157 9:0.84653646 10:-0.89886343 11:3.6660705 12:-4.2238507 13:1.6503855 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:215.24323 2:-0.5970648 3:1.7266427 4:-2.536193 5:2.8833451 6:-2.7547736 7:3.118578 8:-2.963157 9:0.84653646 10:-0.89886343 11:3.6660705 12:-4.2238507 13:1.6503855 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
