2 1:231.3522 2:5.930723 3:3.7328892 4:-5.609891 5:1.1443608 6:-2.0464 7:3.5059633 8:0.4534292 9:5.087498 10:-1.8562326 11:6.5383496 12:-1.9529233 13:3.750238 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:231.91867 2:4.0212693 3:4.091595 4:-5.0973935 5:1.775642 6:-1.9881116 7:4.1463156 8:-2.289934 9:1.2136468 10:-1.9929332 11:6.017422 12:-2.41328 13:1.9095715 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:227.51091 2:2.6192794 3:2.471591 4:-7.025257 5:0.5446094 6:-3.0641809 7:2.7008495 8:-2.4674854 9:2.1911294 10:-0.38067684 11:6.419901 12:-2.6060355 13:0.57952416 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:232.63448 2:4.461308 3:3.442406 4:-4.6264796 5:-0.15100004 6:-3.1349623 7:3.6063063 8:-3.5995474 9:4.889267 10:-2.7370343 11:2.9101799 12:0.09089 13:4.604168 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:234.3279 2:6.5657763 3:4.5851707 4:-5.159085 5:0.6059024 6:-2.951488 7:3.8868408 8:-2.0287511 9:5.871301 10:-1.5071435 11:3.4279554 12:-0.9292624 13:4.9094567 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:231.6891 2:4.9948683 3:3.2635374 4:-5.9312043 5:-0.36048424 6:-3.6866808 7:4.09682 8:-2.009652 9:2.5457036 10:-1.5679809 11:2.006361 12:-4.1965547 13:2.5254385 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:233.22102 2:5.579843 3:3.6738899 4:-4.850248 5:1.3754742 6:-4.548026 7:4.7800145 8:-2.2998614 9:1.9982502 10:-1.8020256 11:1.4252969 12:-2.5093489 13:3.7147734 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:231.96834 2:4.365492 3:3.5660076 4:-0.24505964 5:2.9801497 6:-3.0373616 7:3.5394564 8:-4.7822948 9:3.3212237 10:-0.23337753 11:4.829329 12:-3.545349 13:4.0877867 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:228.65341 2:2.9749022 3:2.7506247 4:-2.0771608 5:0.21773322 6:-3.1640038 7:2.7198896 8:-4.5632424 9:2.267782 10:-1.6719993 11:5.2754736 12:-2.0761838 13:3.105074 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:234.98984 2:5.0934625 3:2.6917014 4:-5.973439 5:1.1572036 6:-1.4150202 7:5.4155364 8:-2.6244142 9:3.542304 10:-1.3710289 11:3.8613696 12:-3.5533972 13:1.7476941 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
