2 1:117.50427 2:5.7557306 3:6.915958 4:-1.5644935 5:2.7031686 6:-1.4443954 7:5.4264593 8:-0.8857672 9:3.45267 10:-3.2387707 11:1.8944422 12:-4.694729 13:3.4537473 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:109.23314 2:-0.07810293 3:6.231249 4:-2.1992664 5:1.7030443 6:-2.052659 7:4.9075904 8:0.7232309 9:3.6715856 10:-2.5944397 11:-0.01553386 12:-2.904819 13:2.1581266 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:109.23314 2:-0.07810293 3:6.231249 4:-2.1992664 5:1.7030443 6:-2.052659 7:4.9075904 8:0.7232309 9:3.6715856 10:-2.5944397 11:-0.01553386 12:-2.904819 13:2.1581266 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:109.1387 2:0.21344686 3:6.45612 4:-3.0227344 5:-0.06696417 6:-2.594638 7:2.485637 8:-1.2427227 9:5.5855665 10:1.0023621 11:1.2551191 12:-3.8348057 13:5.434587 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:109.1387 2:0.21344686 3:6.45612 4:-3.0227344 5:-0.06696417 6:-2.594638 7:2.485637 8:-1.2427227 9:5.5855665 10:1.0023621 11:1.2551191 12:-3.8348057 13:5.434587 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:104.39322 2:-2.8102024 3:0.049630675 4:-1.0195373 5:3.9538968 6:-3.5543892 7:0.60607445 8:-0.55634505 9:3.772357 10:-0.76528007 11:-0.49655685 12:-4.161928 13:5.38684 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:104.39322 2:-2.8102024 3:0.049630675 4:-1.0195373 5:3.9538968 6:-3.5543892 7:0.60607445 8:-0.55634505 9:3.772357 10:-0.76528007 11:-0.49655685 12:-4.161928 13:5.38684 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:184.44594 2:-25.373524 3:5.60264 4:-0.9938579 5:10.234147 6:-2.1887908 7:-9.804722 8:2.6394794 9:-2.1742952 10:-5.6888223 11:-2.6161842 12:1.6323406 13:2.904261 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:184.44594 2:-25.373524 3:5.60264 4:-0.9938579 5:10.234147 6:-2.1887908 7:-9.804722 8:2.6394794 9:-2.1742952 10:-5.6888223 11:-2.6161842 12:1.6323406 13:2.904261 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:207.46008 2:-20.290134 3:5.087458 4:-3.275571 5:13.15698 6:-2.8803406 7:-9.847043 8:2.867176 9:-2.0077255 10:-1.888394 11:-2.1177478 12:0.31729186 13:2.566909 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
