2 1:228.29239 2:4.099597 3:3.9388895 4:-3.4608119 5:2.8477848 6:-3.4668403 7:0.88264424 8:-2.3008692 9:3.7923217 10:-2.6312332 11:4.449916 12:-2.4690793 13:2.4942303 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:227.25946 2:2.5616677 3:3.0282495 4:-1.7270732 5:3.9151828 6:0.29354995 7:4.637634 8:-4.326159 9:1.8883322 10:-2.112245 11:4.4165773 12:-2.043846 13:3.0104616 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:227.63248 2:1.9594325 3:0.77495146 4:-2.9918737 5:2.6288953 6:-1.1439501 7:3.1878126 8:-3.3393512 9:4.715623 10:-0.8708217 11:4.356548 12:-0.49262977 13:4.787848 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:226.38765 2:0.48527813 3:-0.024307601 4:-4.7943473 5:1.3454833 6:-3.9372628 7:4.231693 8:-2.4863038 9:2.1140122 10:-2.5877883 11:4.9067035 12:-0.77986735 13:3.8993635 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:225.64021 2:0.6643649 3:1.2554619 4:-3.417232 5:0.26436856 6:-5.1695743 7:2.9593046 8:-1.8811349 9:1.2552857 10:-3.8774438 11:2.581138 12:-3.364509 13:3.1969833 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:225.2759 2:0.075169474 3:0.94917494 4:-5.818728 5:3.7278318 6:-1.5327023 7:2.8256123 8:-1.8645095 9:3.8354418 10:0.99710023 11:5.3091297 12:-1.8000283 13:1.3935671 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:226.873 2:1.5010893 3:0.7915107 4:-5.235347 5:5.2609324 6:-0.27000794 7:2.8328264 8:-0.823739 9:6.4033175 10:1.2642261 11:5.745035 12:-1.407877 13:1.7018542 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:227.11429 2:1.0407122 3:0.52851605 4:-2.792307 5:2.967878 6:-3.5341368 7:2.9652052 8:-2.9449098 9:1.7395481 10:-2.0082693 11:5.0376267 12:-1.9257386 13:2.0911143 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:224.16483 2:0.025408564 3:0.46811098 4:-3.4748566 5:0.2842405 6:-2.3544345 7:3.5681958 8:-1.7712088 9:1.4649112 10:-2.9647772 11:4.156619 12:-3.264591 13:3.7372532 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:228.96063 2:3.4804382 3:3.673865 4:-2.5338264 5:1.686847 6:-2.0207174 7:4.583942 8:-2.3261712 9:3.8080313 10:-2.116638 11:3.4657037 12:-0.87644774 13:3.8637443 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
