2 1:165.0276 2:0.9373516 3:3.6322134 4:-0.6771321 5:1.3809369 6:-1.9723214 7:4.7404337 8:0.29757184 9:5.1616864 10:-0.2749018 11:4.8556986 12:-1.6729313 13:5.1764774 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:166.94153 2:3.091615 3:6.4199634 4:-2.6114159 5:2.7559712 6:1.3405666 7:3.6062946 8:-5.5210967 9:2.1773877 10:-2.1728048 11:2.6514368 12:-1.4505751 13:3.7633052 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:166.94153 2:3.091615 3:6.4199634 4:-2.6114159 5:2.7559712 6:1.3405666 7:3.6062946 8:-5.5210967 9:2.1773877 10:-2.1728048 11:2.6514368 12:-1.4505751 13:3.7633052 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:167.08676 2:3.018682 3:4.155533 4:-1.437249 5:5.439402 6:-1.4165183 7:2.0138197 8:-5.447161 9:1.1634933 10:-0.24379809 11:1.711834 12:-3.2827575 13:4.9781713 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:167.08676 2:3.018682 3:4.155533 4:-1.437249 5:5.439402 6:-1.4165183 7:2.0138197 8:-5.447161 9:1.1634933 10:-0.24379809 11:1.711834 12:-3.2827575 13:4.9781713 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:169.15605 2:5.0603685 3:9.6174965 4:-0.9993123 5:4.9532986 6:-0.62714636 7:2.5341525 8:-4.404842 9:5.6085567 10:-0.629147 11:2.693536 12:0.5859905 13:3.4323182 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:169.15605 2:5.0603685 3:9.6174965 4:-0.9993123 5:4.9532986 6:-0.62714636 7:2.5341525 8:-4.404842 9:5.6085567 10:-0.629147 11:2.693536 12:0.5859905 13:3.4323182 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:167.22997 2:2.0353568 3:5.4250574 4:0.66437674 5:8.340789 6:-0.5992216 7:3.0715017 8:-3.0595737 9:3.7974424 10:-1.1255693 11:3.0506363 12:-0.9020126 13:2.5347495 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:167.22997 2:2.0353568 3:5.4250574 4:0.66437674 5:8.340789 6:-0.5992216 7:3.0715017 8:-3.0595737 9:3.7974424 10:-1.1255693 11:3.0506363 12:-0.9020126 13:2.5347495 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:165.26839 2:0.19473755 3:7.1910124 4:1.3964982 5:4.0815306 6:0.7596379 7:3.9964936 8:-2.983273 9:3.0387497 10:-2.4354687 11:3.7886298 12:-1.5221136 13:2.943282 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:165.26839 2:0.19473755 3:7.1910124 4:1.3964982 5:4.0815306 6:0.7596379 7:3.9964936 8:-2.983273 9:3.0387497 10:-2.4354687 11:3.7886298 12:-1.5221136 13:2.943282 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:165.23235 2:3.303295 3:3.6046822 4:1.5870556 5:3.307316 6:1.4723911 7:3.514879 8:-5.0095716 9:3.2812648 10:-4.1894383 11:2.8351345 12:-3.3706892 13:4.87099 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:165.23235 2:3.303295 3:3.6046822 4:1.5870556 5:3.307316 6:1.4723911 7:3.514879 8:-5.0095716 9:3.2812648 10:-4.1894383 11:2.8351345 12:-3.3706892 13:4.87099 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
