2 1:208.9478 2:6.6605725 3:8.09831 4:-1.0765204 5:2.423771 6:-0.93968266 7:3.8061001 8:-2.8721914 9:4.3148036 10:-3.0407646 11:1.4759716 12:-0.3484328 13:3.6903946 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:208.9478 2:6.6605725 3:8.09831 4:-1.0765204 5:2.423771 6:-0.93968266 7:3.8061001 8:-2.8721914 9:4.3148036 10:-3.0407646 11:1.4759716 12:-0.3484328 13:3.6903946 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:203.29112 2:6.2116446 3:6.0975175 4:-3.3482106 5:1.1829468 6:-0.3904705 7:3.907025 8:-2.01875 9:3.734308 10:-3.590031 11:1.9752679 12:-2.2219877 13:2.35574 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:203.29112 2:6.2116446 3:6.0975175 4:-3.3482106 5:1.1829468 6:-0.3904705 7:3.907025 8:-2.01875 9:3.734308 10:-3.590031 11:1.9752679 12:-2.2219877 13:2.35574 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:199.9314 2:7.5376773 3:5.001497 4:-2.1128004 5:4.1501584 6:4.1376376 7:4.1447983 8:-4.3315086 9:5.0668483 10:-0.9418698 11:2.7629988 12:-2.3106396 13:3.1303341 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:199.9314 2:7.5376773 3:5.001497 4:-2.1128004 5:4.1501584 6:4.1376376 7:4.1447983 8:-4.3315086 9:5.0668483 10:-0.9418698 11:2.7629988 12:-2.3106396 13:3.1303341 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:204.60773 2:10.389489 3:5.99407 4:-2.4936664 5:2.0143292 6:-2.1680586 7:4.3484955 8:-3.7933838 9:4.2287707 10:-2.9185174 11:2.7197742 12:-2.34255 13:1.2897091 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:204.60773 2:10.389489 3:5.99407 4:-2.4936664 5:2.0143292 6:-2.1680586 7:4.3484955 8:-3.7933838 9:4.2287707 10:-2.9185174 11:2.7197742 12:-2.34255 13:1.2897091 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:204.114 2:8.213008 3:5.0949707 4:-1.09081 5:3.3035638 6:-2.416206 7:2.1699448 8:-3.4526215 9:4.9366064 10:-1.8295342 11:2.9545906 12:-1.1210315 13:4.851989 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:204.114 2:8.213008 3:5.0949707 4:-1.09081 5:3.3035638 6:-2.416206 7:2.1699448 8:-3.4526215 9:4.9366064 10:-1.8295342 11:2.9545906 12:-1.1210315 13:4.851989 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:202.74747 2:7.743337 3:6.125364 4:-2.442556 5:1.4209548 6:-2.8425999 7:1.9367214 8:-1.0170827 9:3.9657671 10:-5.6285834 11:1.849962 12:-3.3984761 13:3.6511502 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:202.74747 2:7.743337 3:6.125364 4:-2.442556 5:1.4209548 6:-2.8425999 7:1.9367214 8:-1.0170827 9:3.9657671 10:-5.6285834 11:1.849962 12:-3.3984761 13:3.6511502 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:199.63324 2:7.701265 3:10.347773 4:-2.8690372 5:0.08330121 6:-2.5194852 7:2.9673374 8:-4.6621995 9:-2.162682 10:-2.0003872 11:2.6880672 12:-5.1403813 13:3.1235514 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:199.63324 2:7.701265 3:10.347773 4:-2.8690372 5:0.08330121 6:-2.5194852 7:2.9673374 8:-4.6621995 9:-2.162682 10:-2.0003872 11:2.6880672 12:-5.1403813 13:3.1235514 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
